trial_id,K,geometry,PDOP,RMSE
60,9,diverse,4.134471667627583,6.186931504972238
61,9,diverse,7.6160417778434955,12.014153665139938
62,9,diverse,4.205540330402299,6.1527690280061735
63,9,diverse,4.143586392072381,6.15921131442509
64,9,diverse,4.584837295402551,7.1206547457742735
65,9,diverse,3.672275965025143,5.34551338162135
66,9,diverse,4.572334380879954,6.695599971239003
67,9,diverse,3.8670689521452495,5.999341218342666
68,9,diverse,3.1213688469388425,4.634680183821281
69,9,diverse,5.242333079398407,8.07999894763069
70,9,diverse,8.51893645147135,12.572538818049143
71,9,diverse,12.50834492930655,19.837021876424597
72,9,diverse,7.086438728167267,10.601552246821768
73,9,diverse,10.648017436420135,16.12614957633059
74,9,diverse,4.621959082972371,6.991377237316204
75,9,diverse,19.87775958646149,30.590726034541188
76,9,diverse,7.090724707439054,10.181749304773296
77,9,diverse,4.768602807833196,6.977855342056803
78,9,diverse,3.3391752472197727,5.073072544094507
79,9,diverse,6.392434787930673,9.508569925903416
80,9,diverse,5.170790192156554,7.941448964107455
81,9,diverse,16.15361414957059,24.16934269906819
82,9,diverse,3.735451912378345,5.537182135378927
83,9,diverse,5.590830311148035,8.542979983191737
84,9,diverse,8.399614513536198,12.816645124925191
85,9,diverse,6.1211371673508514,9.052462546095336
86,9,diverse,14.149430666665442,22.062962776186996
87,9,diverse,2.1513207587381857,3.0839103204946006
88,9,diverse,4.670358514793186,7.270197486866722
89,9,diverse,4.498222697246994,6.765001732034841
90,10,clustered,38.31992547225965,59.80342286685217
91,10,clustered,35.48942155652364,58.01675068933058
92,10,clustered,28.51789221594794,47.25486394556304
93,10,clustered,45.92777118407608,73.57669697183341
94,10,clustered,28.624875384148815,45.94637347059154
95,10,clustered,43.440039366654034,70.50574416736339
96,10,clustered,31.8992884950111,49.68424617318695
97,10,clustered,47.30025146857583,73.79947094092121
98,10,clustered,32.863072401042416,55.852837829990904
99,10,clustered,28.846681388789992,47.0449023952585
100,10,clustered,29.412069285281667,45.920133134227854
101,10,clustered,41.05860688168612,67.54535460399046
102,10,clustered,26.365906368624255,41.31175763305186
103,10,clustered,39.798590766115204,66.43328209253308
104,10,clustered,32.94516890000438,54.083541858319165
105,10,clustered,27.349769541219935,43.032199075898006
106,10,clustered,69.22159707635176,107.43294396625265
107,10,clustered,28.58530305155477,45.479338708555595
108,10,clustered,41.11168163133361,64.18601238923212
109,10,clustered,29.470437444255683,46.087244741435924
110,10,clustered,34.107405367487,52.47825434097657
111,10,clustered,23.412655622998148,38.136306291242185
112,10,clustered,48.86965459971116,78.30580533757173
113,10,clustered,45.692740039782144,70.81514503629825
